noise_type,alpha,contrast,replicate,noise_mult,pc
pink,1.0,0.04,0,0.0,0.5095486111111112
pink,1.0,0.04,0,0.25,0.5299479166666666
pink,1.0,0.04,0,0.5,0.5299479166666666
pink,1.0,0.04,0,0.65,0.5143229166666666
pink,1.0,0.04,0,0.75,0.5670572916666666
pink,1.0,0.04,0,0.85,0.5208333333333334
pink,1.0,0.04,0,1.0,0.5143229166666666
pink,1.0,0.04,0,1.25,0.5286458333333334
pink,1.0,0.04,0,1.5,0.5208333333333334
pink,1.0,0.04,0,2.0,0.5403645833333334
pink,1.0,0.04,1,0.0,0.5169270833333334
pink,1.0,0.04,1,0.25,0.5260416666666666
pink,1.0,0.04,1,0.5,0.5052083333333334
pink,1.0,0.04,1,0.65,0.4921875
pink,1.0,0.04,1,0.75,0.5208333333333334
pink,1.0,0.04,1,0.85,0.5104166666666666
pink,1.0,0.04,1,1.0,0.5032552083333334
pink,1.0,0.04,1,1.25,0.5130208333333334
pink,1.0,0.04,1,1.5,0.4830729166666667
pink,1.0,0.04,1,2.0,0.5260416666666666
pink,1.0,0.04,2,0.0,0.5104166666666666
pink,1.0,0.04,2,0.25,0.5234375
pink,1.0,0.04,2,0.5,0.5143229166666666
pink,1.0,0.04,2,0.65,0.5091145833333334
pink,1.0,0.04,2,0.75,0.50390625
pink,1.0,0.04,2,0.85,0.515625
pink,1.0,0.04,2,1.0,0.5325520833333334
pink,1.0,0.04,2,1.25,0.5182291666666666
pink,1.0,0.04,2,1.5,0.4908854166666667
pink,1.0,0.04,2,2.0,0.4895833333333333
pink,1.0,0.04,3,0.0,0.5030381944444444
pink,1.0,0.04,3,0.25,0.4661458333333333
pink,1.0,0.04,3,0.5,0.5130208333333334
pink,1.0,0.04,3,0.65,0.52734375
pink,1.0,0.04,3,0.75,0.5338541666666666
pink,1.0,0.04,3,0.85,0.5260416666666666
pink,1.0,0.04,3,1.0,0.5234375
pink,1.0,0.04,3,1.25,0.515625
pink,1.0,0.04,3,1.5,0.51171875
pink,1.0,0.04,3,2.0,0.546875
pink,1.0,0.04,4,0.0,0.5203993055555556
pink,1.0,0.04,4,0.25,0.5169270833333334
pink,1.0,0.04,4,0.5,0.5390625
pink,1.0,0.04,4,0.65,0.4869791666666667
pink,1.0,0.04,4,0.75,0.53125
pink,1.0,0.04,4,0.85,0.5221354166666666
pink,1.0,0.04,4,1.0,0.5104166666666666
pink,1.0,0.04,4,1.25,0.5182291666666666
pink,1.0,0.04,4,1.5,0.51171875
pink,1.0,0.04,4,2.0,0.49609375
pink,1.0,0.04,5,0.0,0.5030381944444444
pink,1.0,0.04,5,0.25,0.4973958333333333
pink,1.0,0.04,5,0.5,0.5286458333333334
pink,1.0,0.04,5,0.65,0.5013020833333334
pink,1.0,0.04,5,0.75,0.5078125
pink,1.0,0.04,5,0.85,0.5416666666666666
pink,1.0,0.04,5,1.0,0.4739583333333333
pink,1.0,0.04,5,1.25,0.5416666666666666
pink,1.0,0.04,5,1.5,0.5546875
pink,1.0,0.04,5,2.0,0.49609375
